Date,Close,Open,High,Low,Volume
31/05/2017,38.189999,38.4925,38.5425,38.095001,97804800
01/06/2017,38.294998,38.2925,38.3325,38.055,65616400
02/06/2017,38.862499,38.395,38.862499,38.2225,111082800
05/06/2017,38.482498,38.584999,38.612499,38.365002,101326800
06/06/2017,38.612499,38.474998,38.952499,38.445,106499600
07/06/2017,38.842499,38.755001,38.994999,38.619999,84278400
08/06/2017,38.747501,38.8125,38.884998,38.599998,85003200
09/06/2017,37.244999,38.797501,38.797501,36.505001,259530800
12/06/2017,36.355,36.435001,36.522499,35.627499,289229200
13/06/2017,36.647499,36.790001,36.862499,36.287498,136661600
14/06/2017,36.290001,36.875,36.875,35.959999,126124800
15/06/2017,36.072498,35.830002,36.119999,35.552502,128661600
16/06/2017,35.567501,35.945,36.125,35.549999,201444400
19/06/2017,36.584999,35.915001,36.685001,35.915001,130165600
20/06/2017,36.252499,36.717499,36.717499,36.235001,99600400
21/06/2017,36.467499,36.380001,36.517502,36.1525,85063200
22/06/2017,36.407501,36.442501,36.674999,36.279999,76425200
23/06/2017,36.57,36.282501,36.790001,36.2775,141757600
26/06/2017,36.455002,36.7925,37.07,36.345001,102769600
27/06/2017,35.932499,36.252499,36.540001,35.904999,99047600
28/06/2017,36.4575,36.122501,36.5275,35.790001,88329600
29/06/2017,35.919998,36.177502,36.282501,35.57,125997600
30/06/2017,36.005001,36.112499,36.240002,35.945,92096400
03/07/2017,35.875,36.220001,36.325001,35.775002,57111200
05/07/2017,36.022499,35.922501,36.197498,35.68,86278400
06/07/2017,35.682499,35.755001,35.875,35.602501,96515200
07/07/2017,36.044998,35.724998,36.1875,35.724998,76806800
10/07/2017,36.264999,36.0275,36.487499,35.842499,84362400
11/07/2017,36.3825,36.182499,36.462502,36.095001,79127200
12/07/2017,36.435001,36.467499,36.544998,36.205002,99538000
13/07/2017,36.942501,36.375,37.122501,36.360001,100797600
14/07/2017,37.259998,36.9925,37.3325,36.8325,80528400
17/07/2017,37.389999,37.205002,37.724998,37.142502,95174000
18/07/2017,37.52,37.299999,37.532501,37.1675,71475200
19/07/2017,37.755001,37.619999,37.855,37.487499,83692000
20/07/2017,37.584999,37.875,37.935001,37.547501,68974800
21/07/2017,37.567501,37.497501,37.610001,37.220001,105010400
24/07/2017,38.022499,37.645,38.110001,37.474998,85972800
25/07/2017,38.185001,37.950001,38.459999,37.950001,75415600
26/07/2017,38.365002,38.337502,38.482498,38.264999,63124000
27/07/2017,37.639999,38.4375,38.497501,36.825001,129905200
28/07/2017,37.375,37.4725,37.557499,37.297501,68854800
31/07/2017,37.182499,37.474998,37.5825,37.032501,79383600
01/08/2017,37.512501,37.275002,37.555,37.102501,141474400
02/08/2017,39.285,39.82,39.9375,39.040001,279747200
03/08/2017,38.892502,39.262501,39.302502,38.755001,108389200
04/08/2017,39.0975,39.017502,39.349998,38.922501,82239600
07/08/2017,39.702499,39.264999,39.73,39.1675,87481200
08/08/2017,40.02,39.650002,40.4575,39.567501,144823600
09/08/2017,40.264999,39.814999,40.317501,39.7775,104526000
10/08/2017,38.830002,39.974998,40,38.657501,163217200
11/08/2017,39.369999,39.150002,39.642502,39.017502,105028400
14/08/2017,39.962502,39.830002,40.052502,39.6875,88490800
15/08/2017,40.400002,40.165001,40.549999,40.035,117862000
16/08/2017,40.237499,40.485001,40.627499,40.037498,110686400
17/08/2017,39.465,40.130001,40.177502,39.459999,111762400
18/08/2017,39.375,39.465,39.875,39.18,109712400
21/08/2017,39.302502,39.375,39.4725,38.7775,105474000
22/08/2017,39.945,39.557499,40,39.505001,86418400
23/08/2017,39.994999,39.767502,40.1175,39.720001,77596400
24/08/2017,39.817501,40.107498,40.185001,39.637501,79275600
25/08/2017,39.965,39.912498,40.139999,39.817501,101920400
28/08/2017,40.3675,40.035,40.5,39.982498,103864000
29/08/2017,40.727501,40.025002,40.779999,40,118067600
30/08/2017,40.837502,40.950001,40.9725,40.6525,109078400
31/08/2017,41,40.91,41.130001,40.869999,107140400
01/09/2017,41.012501,41.200001,41.235001,40.907501,66364400
05/09/2017,40.52,40.9375,41.0625,40.139999,117874000
06/09/2017,40.477501,40.677502,40.747501,40.130001,86606800
07/09/2017,40.314999,40.522499,40.560001,40.09,87714000
08/09/2017,39.657501,40.215,40.287498,39.6325,114446000
11/09/2017,40.375,40.125,40.512501,39.9725,126323200
12/09/2017,40.215,40.6525,40.990002,39.692501,286856000
13/09/2017,39.912498,39.967499,39.990002,39.477501,179629600
14/09/2017,39.57,39.747501,39.849998,39.522499,95042800
15/09/2017,39.970001,39.6175,40.2425,39.5,196458400
18/09/2017,39.6675,40.0275,40.125,39.5,113077600
19/09/2017,39.682499,39.877499,39.942501,39.610001,83242400
20/09/2017,39.017502,39.474998,39.564999,38.4575,211805600
21/09/2017,38.3475,38.950001,38.950001,38.1875,150046800
22/09/2017,37.9725,37.884998,38.067501,37.639999,186581600
25/09/2017,37.637501,37.497501,37.9575,37.290001,177549200
26/09/2017,38.285,37.945,38.48,37.922501,146640000
27/09/2017,38.557499,38.450001,38.68,38.384998,102016800
28/09/2017,38.32,38.4725,38.57,38.174999,88022000
29/09/2017,38.529999,38.302502,38.532501,38,105199200
02/10/2017,38.452499,38.564999,38.612499,38.18,74795200
03/10/2017,38.619999,38.502499,38.772499,38.477501,64921200
04/10/2017,38.369999,38.407501,38.465,38.115002,80655200
05/10/2017,38.8475,38.544998,38.860001,38.512501,85135200
06/10/2017,38.825001,38.7425,38.872501,38.639999,69630400
09/10/2017,38.959999,38.952499,39.182499,38.872501,65051600
10/10/2017,38.974998,39.014999,39.5,38.775002,62468000
11/10/2017,39.137501,38.9925,39.244999,38.9375,67622400
12/10/2017,39,39.087502,39.342499,38.932499,64500400
13/10/2017,39.247501,39.182499,39.32,39.102501,65576800
16/10/2017,39.970001,39.474998,40,39.412498,96486000
17/10/2017,40.1175,39.945,40.217499,39.807499,75989200
18/10/2017,39.939999,40.105,40.177502,39.900002,65496800
19/10/2017,38.994999,39.1875,39.27,38.755001,170336800
20/10/2017,39.0625,39.1525,39.4375,38.990002,95896400
23/10/2017,39.0425,39.2225,39.422501,38.875,87937200
24/10/2017,39.275002,39.072498,39.355,39.049999,71028800
25/10/2017,39.102501,39.227501,39.387501,38.817501,84828400
26/10/2017,39.352501,39.307499,39.4575,39.195,68002000
27/10/2017,40.762501,39.822498,40.900002,39.674999,177816800
30/10/2017,41.68,40.9725,42.017502,40.93,178803200
31/10/2017,42.259998,41.974998,42.412498,41.735001,144187200
01/11/2017,41.7225,42.467499,42.485001,41.4025,134551200
02/11/2017,42.0275,41.650002,42.125,41.32,165573600
03/11/2017,43.125,43.5,43.564999,42.779999,237594400
06/11/2017,43.5625,43.092499,43.747501,42.93,140105200
07/11/2017,43.702499,43.477501,43.8125,43.400002,97446000
08/11/2017,44.060001,43.665001,44.060001,43.5825,97638000
09/11/2017,43.970001,43.7775,44.025002,43.285,117930400
10/11/2017,43.6675,43.7775,43.845001,43.567501,100582000
13/11/2017,43.4925,43.375,43.625,43.349998,67928400
14/11/2017,42.834999,43.259998,43.369999,42.794998,99130000
15/11/2017,42.27,42.4925,42.580002,42.095001,116632400
16/11/2017,42.775002,42.794998,42.967499,42.575001,94550000
17/11/2017,42.537498,42.759998,42.8475,42.41,87598000
20/11/2017,42.494999,42.572498,42.639999,42.389999,65049600
21/11/2017,43.285,42.695,43.424999,42.695,100525200
22/11/2017,43.740002,43.34,43.75,43.262501,102355600
24/11/2017,43.7425,43.775002,43.875,43.662498,56106800
27/11/2017,43.522499,43.762501,43.77,43.334999,82867200
28/11/2017,43.267502,43.575001,43.717499,42.965,105715200
29/11/2017,42.369999,43.157501,43.23,41.790001,166665600
30/11/2017,42.962502,42.607498,43.035,42.110001,166108800
01/12/2017,42.762501,42.487499,42.9175,42.125,159037200
04/12/2017,42.450001,43.119999,43.154999,42.407501,130169600
05/12/2017,42.41,42.264999,42.880001,42.099998,109400800
06/12/2017,42.252499,41.875,42.549999,41.615002,114240000
07/12/2017,42.330002,42.2575,42.610001,42.227501,102693200
08/12/2017,42.342499,42.622501,42.75,42.205002,93420800
11/12/2017,43.1675,42.299999,43.2225,42.197498,141095200
12/12/2017,42.924999,43.037498,43.0975,42.865002,77636800
13/12/2017,43.067501,43.125,43.384998,43,95273600
14/12/2017,43.055,43.099998,43.282501,42.912498,81906000
15/12/2017,43.4925,43.407501,43.5425,43.115002,160677200
