Date,Open,High,Low,Close,Volume
4/1/2021,133.520004,133.610001,126.760002,129.410004,143301900
5/1/2021,128.889999,131.740005,128.429993,131.009995,97664900
6/1/2021,127.720001,131.050003,126.379997,126.599998,155088000
7/1/2021,128.360001,131.630005,127.860001,130.919998,109578200
8/1/2021,132.429993,132.630005,130.229996,132.050003,105158200
11/1/2021,129.190002,130.169998,128.5,128.979996,100384500
12/1/2021,128.5,129.690002,126.860001,128.800003,91951100
13/1/2021,128.759995,131.449997,128.490005,130.889999,88636800
14/1/2021,130.800003,131,128.759995,128.910004,90221800
15/1/2021,128.779999,130.220001,127,127.139999,111598500
19/1/2021,127.779999,128.710007,126.940002,127.830002,90757300
20/1/2021,128.660004,132.490005,128.550003,132.029999,104319500
21/1/2021,133.800003,139.669998,133.589996,136.869995,120150900
22/1/2021,136.279999,139.850006,135.020004,139.070007,114459400
25/1/2021,143.070007,145.089996,136.539993,142.919998,157611700
26/1/2021,143.600006,144.300003,141.369995,143.160004,98390600
27/1/2021,143.429993,144.300003,140.410004,142.059998,140843800
28/1/2021,139.520004,141.990005,136.699997,137.089996,142621100
29/1/2021,135.830002,136.740005,130.210007,131.960007,177523800
1/2/2021,133.75,135.380005,130.929993,134.139999,106239800
2/2/2021,135.729996,136.309998,134.610001,134.990005,83305400
3/2/2021,135.759995,135.770004,133.610001,133.940002,89880900
4/2/2021,136.300003,137.399994,134.589996,137.389999,84183100
5/2/2021,137.350006,137.419998,135.860001,136.759995,75693800
8/2/2021,136.029999,136.960007,134.919998,136.910004,71297200
9/2/2021,136.619995,137.880005,135.850006,136.009995,76774200
10/2/2021,136.479996,136.990005,134.399994,135.389999,73046600
11/2/2021,135.899994,136.389999,133.770004,135.130005,64280000
12/2/2021,134.350006,135.529999,133.690002,135.369995,60145100
16/2/2021,135.490005,136.009995,132.789993,133.190002,80576300
17/2/2021,131.25,132.220001,129.470001,130.839996,97918500
18/2/2021,129.199997,130,127.410004,129.710007,96856700
19/2/2021,130.240005,130.710007,128.800003,129.869995,87668800
22/2/2021,128.009995,129.720001,125.599998,126,103916400
23/2/2021,123.760002,126.709999,118.389999,125.860001,158273000
24/2/2021,124.940002,125.559998,122.230003,125.349998,111039900
25/2/2021,124.68,126.459999,120.540001,120.989998,148199500
26/2/2021,122.589996,124.849998,121.199997,121.260002,164560400
1/3/2021,123.75,127.93,122.790001,127.790001,116307900
2/3/2021,128.410004,128.720001,125.010002,125.120003,102260900
3/3/2021,124.809998,125.709999,121.839996,122.059998,112966300
4/3/2021,121.75,123.599998,118.620003,120.129997,178155000
5/3/2021,120.980003,121.940002,117.57,121.419998,153766600
8/3/2021,120.93,121,116.209999,116.360001,154376600
9/3/2021,119.029999,122.059998,118.790001,121.089996,129525800
10/3/2021,121.690002,122.169998,119.449997,119.980003,111943300
11/3/2021,122.540001,123.209999,121.260002,121.959999,103026500
12/3/2021,120.400002,121.169998,119.160004,121.029999,88105100
15/3/2021,121.410004,124,120.419998,123.989998,92403800
16/3/2021,125.699997,127.220001,124.720001,125.57,115227900
